source_node_id,target_node_id,relationship_type,evidence
58,1,herb_has_action,inferred
58,7,herb_has_action,inferred
58,8,herb_has_action,inferred
59,1,herb_has_action,inferred
59,3,herb_has_action,inferred
59,6,herb_has_action,inferred
59,8,herb_has_action,inferred
60,1,herb_has_action,inferred
60,2,herb_has_action,inferred
60,4,herb_has_action,inferred
60,6,herb_has_action,inferred
60,7,herb_has_action,inferred
60,8,herb_has_action,inferred
60,10,herb_has_action,prabhava
61,1,herb_has_action,inferred
61,5,herb_has_action,inferred
61,6,herb_has_action,inferred
61,8,herb_has_action,inferred
62,1,herb_has_action,inferred
62,3,herb_has_action,inferred
62,4,herb_has_action,inferred
62,6,herb_has_action,inferred
62,7,herb_has_action,inferred
63,1,herb_has_action,inferred
63,2,herb_has_action,inferred
63,4,herb_has_action,inferred
63,6,herb_has_action,inferred
63,7,herb_has_action,inferred
64,1,herb_has_action,inferred
64,3,herb_has_action,inferred
64,4,herb_has_action,inferred
64,6,herb_has_action,inferred
64,7,herb_has_action,inferred
65,1,herb_has_action,inferred
65,2,herb_has_action,inferred
65,3,herb_has_action,inferred
66,4,herb_has_action,inferred
67,1,herb_has_action,inferred
67,3,herb_has_action,inferred
67,4,herb_has_action,inferred
67,7,herb_has_action,inferred
68,1,herb_has_action,inferred
68,3,herb_has_action,inferred
68,6,herb_has_action,inferred
68,7,herb_has_action,inferred
69,1,herb_has_action,inferred
69,3,herb_has_action,inferred
69,4,herb_has_action,inferred
69,6,herb_has_action,inferred
69,8,herb_has_action,inferred
70,1,herb_has_action,inferred
70,2,herb_has_action,inferred
70,3,herb_has_action,inferred
70,4,herb_has_action,inferred
70,5,herb_has_action,inferred
70,7,herb_has_action,inferred
71,1,herb_has_action,inferred
71,3,herb_has_action,inferred
71,5,herb_has_action,inferred
71,6,herb_has_action,inferred
72,1,herb_has_action,inferred
72,3,herb_has_action,inferred
72,7,herb_has_action,inferred
73,1,herb_has_action,inferred
73,3,herb_has_action,inferred
73,4,herb_has_action,inferred
73,5,herb_has_action,inferred
73,6,herb_has_action,inferred
73,7,herb_has_action,inferred
73,8,herb_has_action,inferred
74,1,herb_has_action,inferred
74,2,herb_has_action,inferred
74,3,herb_has_action,prabhava
75,1,herb_has_action,inferred
75,2,herb_has_action,inferred
75,3,herb_has_action,inferred
75,6,herb_has_action,inferred
75,8,herb_has_action,inferred
76,1,herb_has_action,inferred
